10.2196/12345	 DOI
10.2196/12284	 DOI
10.2196/preprints.9032	 DOI
10.2196/publichealth.5347	 DOI
10.2196/resprot.8990	 DOI
10.2196/13259	 DOI
10.2196/resprot.3291	 DOI
10.2196/14701	 DOI
10.2196/resprot.3737	 DOI
10.2196/humanfactors.4996	 DOI
10.2196/13817	 DOI
10.2196/mhealth.8273	 DOI
10.2196/11052	 DOI
10.2196/10789	 DOI
10.2196/10057	 DOI
10.2196/preprints.8143	 DOI
10.2196/mhealth.9177	 DOI
10.2196/preprints.7767	 DOI
10.2196/resprot.7720	 DOI
10.2196/preprints.14051	 DOI
10.2196/mhealth.5181	 DOI
10.2196/preprints.10941	 DOI
10.2196/preprints.10200	 DOI
10.2196/mededu.9237	 DOI
10.2196/preprints.12274	 DOI
10.1002/ange.19640760734	 DOI
10.1016/s0422-9894(06)x7300-2	 DOI
10.1002/iroh.19780630118	 DOI
10.1002/aic.690340128	 DOI
10.1016/0921-8181(93)90014-f	 DOI
10.1016/s0422-9894(02)80047-2	 DOI
10.1016/s0422-9894(08)70516-6	 DOI
10.1002/hfm.4530040209	 DOI
10.1177/02685809080230050608	 DOI
10.1002/qua.560370209	 DOI
10.1016/b978-3-437-27406-0.00002-7	 DOI
10.1002/pol.1987.140250210	 DOI
10.1080/00327487708065520	 DOI
10.1086/670577	 DOI
10.1002/ange.19620740436	 DOI
10.1016/s0422-9894(08)71387-4	 DOI
10.1002/cite.330620605	 DOI
10.1007/s10522-004-7389-4	 DOI
10.1016/s0422-9894(08)70065-5	 DOI
10.1080/00945718408068787	 DOI
10.1016/s0422-9894(01)80003-9	 DOI
10.1002/polb.1992.090301218	 DOI
10.1016/s0338-9898(99)80165-6	 DOI
10.1134/s000629790811014x	 DOI
10.1016/s0422-9894(08)70470-7	 DOI
10.1017/s0022112084230206	 DOI
10.1177/004728759503400223	 DOI
10.1016/s0422-9894(08)71271-6	 DOI
10.1016/s0422-9894(08)71231-5	 DOI
10.1016/s0005-1098(97)00044-7	 DOI
10.1002/ange.19921041149	 DOI
10.1016/s0422-9894(08)70190-9	 DOI
10.1016/b978-3-437-21401-1.16001-5	 DOI
10.1002/bbpc.19900940621	 DOI
10.1016/0168-1702(95)90011-x	 DOI
10.1016/s0141-0296(00)00007-9	 DOI
10.1017/s0021859600075419	 DOI
10.1016/b978-0-444-82139-3.50095-1	 DOI
10.1007/bf03089237	 DOI
10.1016/b978-0-444-82139-3.50040-9	 DOI
10.1177/004728759403300279	 DOI
10.1108/13522750810845595	 DOI
10.1016/s0422-9894(08)70413-6	 DOI
10.1016/b978-3-437-21401-1.04001-0	 DOI
10.1111/j.1365-246x.1986.tb01081.x	 DOI
10.1016/s1572-347x(05)80039-4	 DOI
10.2214/ajr.11.6664	 DOI
10.1002/asi.4630300415	 DOI
10.1016/j.hjc.2016.04.004	 DOI
10.12968/ijpn.2013.19.11.568	 DOI
10.1111/ans.12922	 DOI
10.1017/s0016756800048019	 DOI
10.1007/s10719-005-0848-6	 DOI
10.1002/star.19900420114	 DOI
10.1016/s0920-5489(98)00071-3	 DOI
10.1016/s0736-4679(19)30116-7	 DOI
10.1017/s0016756899233328	 DOI
10.1016/s1571-9952(03)80064-8	 DOI
10.1002/ajim.4700030113	 DOI
10.1021/cen-09331-ad06	 DOI
10.1017/s0003055400270755	 DOI
10.1177/004728759503400244	 DOI
10.1021/op050135v	 DOI
10.1016/s0422-9894(08)70671-8	 DOI
10.1002/jobm.19650050220	 DOI
10.1016/s0422-9894(08)70444-6	 DOI
10.1016/0141-9382(90)90071-z	 DOI
10.1080/01431168408948865	 DOI
10.1002/pi.4980210325	 DOI
10.1016/0014-5793(80)80151-7	 DOI
10.1016/0166-3542(93)90052-k	 DOI
10.1016/0012-8252(74)90104-4	 DOI
10.1017/s0016756800036748	 DOI
10.1002/ange.19540660212	 DOI
10.4028/www.scientific.net/ddf.208-209.283	 DOI
10.1016/s0422-9894(08)71343-6	 DOI
10.1007/bf03079631	 DOI
10.1353/jsh/12.4.650	 DOI
10.1016/s1571-9952(03)80060-0	 DOI
10.1016/s0422-9894(08)71309-6	 DOI
10.1126/science.147.3655.286	 DOI
10.1002/mmnz.4850810113	 DOI
10.1002/qj.49711548814	 DOI
10.1177/004728759803700127	 DOI
10.1111/njb.00811	 DOI
10.1373/clinchem.2005.050815	 DOI
10.1093/aob/mci202	 DOI
10.1016/s0264-8172(99)00027-6	 DOI
10.1016/s0304-3800(00)00291-x	 DOI
10.1002/maco.19640151222	 DOI
10.1016/0304-4017(82)90109-1	 DOI
10.1017/s095410208921012x	 DOI
10.1016/s1571-9960(04)80122-8	 DOI
10.1080/07373939308916832	 DOI
10.1016/s0422-9894(08)71314-x	 DOI
10.1016/s0422-9894(97)80041-4	 DOI
10.1016/b978-0-444-82139-3.50131-2	 DOI
10.1002/(sici)1096-9136(199606)13:6<592::aid-dia117>3.0.co;2-4	 DOI
10.12968/jorn.2012.4.2.108a	 DOI
10.1080/00327487608061601	 DOI
10.22541/au.156259046.61263831	 DOI
10.22541/au.156177170.03785716	 DOI
10.18243/eon/2019.12.2.3	 DOI
10.7554/elife.45133.007	 DOI
10.7554/elife.45133.022	 DOI
10.1101/673665	 DOI
10.7554/elife.45133.039	 DOI
10.7554/elife.45133.031	 DOI
10.1101/529206	 DOI
10.7554/elife.45133.041	 DOI
10.1016/j.bpj.2016.06.035	 DOI
10.1101/833400	 DOI
10.34193/ei-a-15171	 DOI
10.7554/elife.39702.028	 DOI
10.1126/science.aal1117	 DOI
10.7554/elife.45133.012	 DOI
10.1038/nature.2017.21894	 DOI
10.1126/science.aaz8160	 DOI
10.7554/elife.45133.021	 DOI
10.32942/osf.io/68h3w	 DOI
10.7554/elife.45133.002	 DOI
10.7554/elife.45396.011	 DOI
10.7554/elife.45133.003	 DOI
10.22541/au.156173836.60281638	 DOI
10.7554/elife.45133.034	 DOI
10.22541/au.156460759.93613361	 DOI
10.22541/au.156173835.50161858	 DOI
10.1101/515643	 DOI
10.7554/elife.45133.011	 DOI
10.5860/choice.51-6156	 DOI
10.7554/elife.45133.035	 DOI
10.14224/1.37693	 DOI
10.7554/elife.45133.014	 DOI
10.7554/elife.45133.017	 DOI
10.22541/au.153252412.28244185	 DOI
10.7554/elife.45133.036	 DOI
10.1002/leap.1265	 DOI
10.7554/elife.45133	 DOI
10.1101/777284	 DOI
10.7554/elife.45133.026	 DOI
10.1523/jneurosci.3812-16.2016	 DOI
10.7554/elife.45133.018	 DOI
10.1038/1681036a0	 DOI
10.1038/104148b0	 DOI
10.1038/357429a0	 DOI
10.1038/332186a0	 DOI
10.1038/162030b0	 DOI
10.1038/nrclinonc.2010.169	 DOI
10.1093/acprof:oso/9780190243777.003.0002	 DOI
10.1016/0368-3230(62)90263-x	 DOI
10.1038/140102d0	 DOI
10.5962/bhl.title.138312	 DOI
10.1038/346207a0	 DOI
10.1038/314034c0	 DOI
10.1038/s41467-017-00972-z	 DOI
10.1038/167908a0	 DOI
10.1038/ni1008-1097	 DOI
10.1038/2191394b0	 DOI
10.1038/nmiddleeast.2010.202	 DOI
10.1093/acprof:oso/9780198246329.003.0005	 DOI
10.1038/nature03605	 DOI
10.1038/018654a0	 DOI
10.1038/2141035a0	 DOI
10.1016/j.jenvman.2011.05.005	 DOI
10.1038/2151212a0	 DOI
10.1038/050338e0	 DOI
10.1038/s41467-019-08718-9	 DOI
10.1038/ncpgasthep0865	 DOI
10.1038/nature.2016.19795	 DOI
10.1038/nphoton.2013.337	 DOI
10.1038/203526a0	 DOI
10.2307/2921991	 DOI
10.1038/nature02711	 DOI
10.1038/nature11239	 DOI
10.1038/266101a0	 DOI
10.1038/353123a0	 DOI
10.1016/j.riob.2009.07.002	 DOI
10.1038/329048a0	 DOI
10.1038/s41467-019-10083-6	 DOI
10.1038/155778a0	 DOI
10.1038/189189a0	 DOI
10.4135/9781452219387.n9	 DOI
10.1038/22366	 DOI
10.1038/138421a0	 DOI
10.1038/177380a0	 DOI
10.1097/01.mib.0000480258.39258.e5	 DOI
10.1038/161330b0	 DOI
10.1038/nbt0790-603	 DOI
10.1038/007438a0	 DOI
10.3126/on.v3i1.330	 DOI
10.1038/149729b0	 DOI
10.1038/nm1201-1267	 DOI
10.25336/p6ng7c	 DOI
10.1152/japplphysiol.90312.2008	 DOI
10.1038/155422a0	 DOI
10.5749/minnesota/9780816681075.003.0004	 DOI
10.1038/432142a	 DOI
10.1038/365737a0	 DOI
10.1038/s41588-019-0390-2	 DOI
10.1038/nature.2012.10684	 DOI
10.1038/481265a	 DOI
10.1038/nature12917	 DOI
10.1038/nn.2629	 DOI
10.1038/nri717	 DOI
10.1038/ng0794-351	 DOI
10.1038/nrrheum.2012.149	 DOI
10.1038/ngeo1274	 DOI
10.1080/22311866.2012.10719126	 DOI
10.1038/2211088b0	 DOI
10.1038/1441024a0	 DOI
10.1038/1361023d0	 DOI
10.1016/j.crci.2004.12.014	 DOI
10.1038/nrclinonc.2014.27	 DOI
10.1038/233571c0	 DOI
10.1038/nbt0106-29	 DOI
10.1038/ng.472	 DOI
10.1038/368097a0	 DOI
10.1002/j.2333-8504.2001.tb01855.x	 DOI
10.1038/138641a0	 DOI
10.1016/0740-624x(90)90014-f	 DOI
10.1038/101242a0	 DOI
10.1038/ng.542	 DOI
10.1038/193782a0	 DOI
10.1038/373564a0	 DOI
10.1038/190468a0	 DOI
10.1103/physrevb.53.r10509	 DOI
10.1038/024335d0	 DOI
10.1038/532181a	 DOI
10.1038/35009160	 DOI
10.1515/9780824862886-008	 DOI
10.1038/187538a0	 DOI
10.1038/35093163	 DOI
10.1038/255163a0	 DOI
10.1038/119410a0	 DOI
10.1038/nmat2060	 DOI
10.1038/007235a0	 DOI
10.1016/0304-4009(81)90007-3	 DOI
10.1038/347488a0	 DOI
10.1038/224534b0	 DOI
10.1038/s41467-019-08742-9	 DOI
10.1038/35050030	 DOI
10.1038/349284a0	 DOI
10.1093/ww/9780199540884.013.u256420	 DOI
10.1504/ijcm.2018.10015715	 DOI
10.1016/b978-0-12-417580-8.50012-5	 DOI
10.1504/ijcm.2018.094480	 DOI
10.1093/ww/9780199540884.013.u18499	 DOI
10.1093/ww/9780199540884.013.18499	 DOI
10.1093/ww/9780199540884.013.256420	 DOI
10.1002/9781118445112.stat02549	 DOI
10.1086/ahr/109.3.931	 DOI
10.1002/9780470061589.fsa440.pub2	 DOI
10.1002/9781118445112.stat01408	 DOI
10.1002/9781118162934.ch20	 DOI
10.1200/jco.1996.14.8.2224	 DOI
10.1002/9781118445112.stat00271	 DOI
10.1002/9781118663219.wbegss752	 DOI
10.1002/yea.1617	 DOI
10.1002/ange.19860981032	 DOI
10.1002/9781118445112.stat00566	 DOI
10.1002/9780470556986.app5	 DOI
10.1002/9781118445112.stat03231	 DOI
10.1002/9781118255513.ch8	 DOI
10.1021/np800522e	 DOI
10.1177/058310248501700306	 DOI
10.1002/9780470674871.wbespm453	 DOI
10.1021/ja9856699	 DOI
10.1002/9781118445112.stat03099	 DOI
10.1111/jaac.12011_1	 DOI
10.1002/047134608x.w6034	 DOI
10.1002/(sici)1099-1239(199910)9:12<903::aid-rnc431>3.0.co;2-i	 DOI
10.1002/9780471740360.ebs0655	 DOI
10.1002/9780470523315.ch10	 DOI
10.1002/9781118612323.symbols	 DOI
10.1002/047134608x.w1012.pub2	 DOI
10.1002/9780470670590.wbeog240	 DOI
10.1002/9781118785317.weom110266	 DOI
10.1002/9781118445112.stat03577	 DOI
10.1002/wnan.1304	 DOI
10.1002/0471203076.emm0706	 DOI
10.1002/9781118445112.stat06156	 DOI
10.1002/047134608x.w3609	 DOI
10.1002/9781118150719.ch88	 DOI
10.1002/9780470121177.indauth	 DOI
10.1002/9780470674871.wbespm135	 DOI
10.1002/9781119133759.ch43	 DOI
10.1108/02641611111187587	 DOI
10.1002/wene.136	 DOI
10.1002/wat2.2017.4.issue-6	 DOI
10.1002/gps.785	 DOI
10.1002/9781118762387.ch7	 DOI
10.1002/9781118306543.ch28	 DOI
10.1002/9781118445112.stat01100	 DOI
10.1002/9781118663219.wbegss524	 DOI
10.1002/9781444345742.ch42	 DOI
10.1002/9781119385349.fmatter	 DOI
10.1002/9780471462422.eoct409	 DOI
10.1002/9781118147634.ch7	 DOI
10.1002/9780470050118.ecse284	 DOI
10.1021/ed300770k	 DOI
10.1080/07408170500369651	 DOI
10.1109/oceans.2006.306928	 DOI
10.1002/9781444325485.ch4	 DOI
10.1002/9781118445112.stat01279	 DOI
10.1002/9780471462422.eoct537	 DOI
10.1002/9781118773123.ch24	 DOI
10.1192/bjp.120.554.113-b	 DOI
10.1002/9781118445112.stat01393	 DOI
10.1016/s0016-5085(03)81509-3	 DOI
10.1002/9781118445112.stat01431	 DOI
10.1117/12.228168	 DOI
10.1177/030913338100500317	 DOI
10.1002/9781118445112.stat03205	 DOI
10.1002/9781118150658.ch14	 DOI
10.2307/j.ctt1ffjmrt.4	 DOI
10.1002/qua.560090416	 DOI
10.1002/9781118367377.ch18	 DOI
10.1158/1538-7445.fbcr11-c31	 DOI
10.1002/9781118430873.est0254	 DOI
10.1002/9780470400531.eorms1059	 DOI
10.1002/wdev.99	 DOI
10.1108/jpbm-08-2012-0173	 DOI
10.1002/9781119950882.ch29	 DOI
10.1002/zamm.19830630734	 DOI
10.1002/wdev.142	 DOI
10.1002/9781118787106.ch8	 DOI
10.1002/0471754722.ch13	 DOI
10.1021/ja01969a015	 DOI
10.1002/9781118150467.ch2	 DOI
10.1002/9781118663219.wbegss104	 DOI
10.1002/9781118232897.ch11	 DOI
10.1002/9781118445112.stat05227	 DOI
10.1017/s002187581300248x	 DOI
10.1002/9781118568446.eurs0482	 DOI
10.1002/9780470048672.wecb521	 DOI
10.1002/0471203076.emm1075	 DOI
10.1002/9781118384404.ch2	 DOI
10.1192/bjp.119.550.333-a	 DOI
10.1121/1.4877666	 DOI
10.1002/9781118610398.ch1	 DOI
10.1002/ldr.3400010109	 DOI
10.1002/9781118568446.eurs0277	 DOI
10.1002/9781118445112.stat00426	 DOI
10.1016/0006-8993(95)01431-4	 DOI
10.1111/j.1360-0443.2012.03930.x	 DOI
10.1002/9781118785317.weom020058	 DOI
10.1002/9781118367377.ch14	 DOI
10.1002/widm.1225	 DOI
10.1017/s0016756800036785	 DOI
10.1007/978-3-030-01452-0_16	 DOI
10.1007/978-3-642-84269-6_14	 DOI
10.1007/978-3-662-48986-4_3664	 DOI
10.1007/978-3-662-10804-8_17	 DOI
10.1016/j.biombioe.2011.04.055	 DOI
10.1007/978-3-319-71934-4_34	 DOI
10.1007/978-1-4471-7444-8_12	 DOI
10.1007/978-3-662-48986-4_3655	 DOI
10.1002/zamm.19780580830	 DOI
10.1007/s15016-015-0917-4	 DOI
10.1007/978-3-642-73211-9_9	 DOI
10.1017/s0025557200147369	 DOI
10.1007/978-3-642-79329-5_11	 DOI
10.1007/978-1-4613-8486-1_12	 DOI
10.1007/0-387-22742-3_7	 DOI
10.1007/978-3-540-71095-0_9322	 DOI
10.1007/978-3-662-48986-4_1539	 DOI
10.1007/978-3-662-06859-5	 DOI
10.1007/978-3-662-24966-6_9	 DOI
10.1007/978-3-540-71095-0_7028	 DOI
10.1007/978-981-10-8932-9	 DOI
10.1007/11552246_49	 DOI
10.1021/ja040975+	 DOI
10.1007/978-3-642-27175-5_17	 DOI
10.1007/978-3-319-24990-2_5	 DOI
10.1002/mrm.20405	 DOI
10.1007/978-1-4471-6681-8_3	 DOI
10.1007/978-3-319-01186-8_9	 DOI
10.1007/978-3-540-71095-0_10041	 DOI
10.1007/978-3-540-77965-0_13	 DOI
10.1007/978-3-319-58205-4_5	 DOI
10.1017/als.2018.24	 DOI
10.1007/s35144-016-0330-1	 DOI
10.1007/978-3-642-03085-7_21	 DOI
10.1002/bbpc.19890930538	 DOI
10.1007/978-3-030-21755-6_8	 DOI
10.1007/978-3-319-20025-5_5	 DOI
10.1007/978-1-59745-198-7_6	 DOI
10.1007/978-0-387-68488-8_12	 DOI
10.1007/978-3-662-09549-2_15	 DOI
10.1007/978-3-642-54699-0	 DOI
10.1002/jpln.19550710212	 DOI
10.1365/s40112-016-1105-z	 DOI
10.1007/978-3-642-79353-0	 DOI
10.1007/3-540-37718-2_48	 DOI
10.1007/978-3-642-81789-2_2	 DOI
10.1007/s35148-016-0018-0	 DOI
10.1007/978-0-387-21812-0_5	 DOI
10.1088/1367-2630/15/10/103027	 DOI
10.1007/978-3-662-48986-4_301069	 DOI
10.1007/s15202-016-1253-7	 DOI
10.1007/978-3-540-71095-0_7854	 DOI
10.1007/978-3-319-11605-1_11	 DOI
10.1007/3-540-37641-0_9	 DOI
10.1007/978-1-4757-4106-3_1	 DOI
10.1007/978-1-84628-819-7_9	 DOI
10.1007/978-0-387-71469-1_8	 DOI
10.1007/978-3-662-48986-4_2206	 DOI
10.1007/978-3-662-08230-0_7	 DOI
10.1007/s40014-012-0436-1	 DOI
10.1007/978-3-319-20022-4_7	 DOI
10.1007/978-3-662-00615-3_1	 DOI
10.1007/bf00118371	 DOI
10.1007/978-3-642-77154-5_99	 DOI
10.1002/crat.2170220305	 DOI
10.1016/0092-8674(79)90172-7	 DOI
10.1007/978-3-540-69012-2	 DOI
10.1007/978-1-4612-0667-5_2	 DOI
10.1007/s15011-016-0828-0	 DOI
10.1007/978-3-030-20835-6_2	 DOI
10.1007/s15005-019-0056-8	 DOI
10.1007/bf00199792	 DOI
10.1007/3-540-30766-4_16	 DOI
10.1007/11429555_14	 DOI
10.1007/978-3-662-08231-7	 DOI
10.1002/ange.19270403916	 DOI
10.1007/978-3-319-12676-0_7	 DOI
10.1007/978-3-319-52250-0_7	 DOI
10.1007/978-3-662-45763-4	 DOI
10.1007/978-981-10-5478-5	 DOI
10.1007/s11016-013-9865-4	 DOI
10.1007/978-3-662-48986-4_300944	 DOI
10.1007/978-3-319-74325-7_4	 DOI
10.1007/978-3-642-25527-4_33	 DOI
10.1007/978-3-642-13281-0_5	 DOI
10.1007/978-3-540-77107-4_38	 DOI
10.1007/978-3-662-10537-5_2	 DOI
10.1007/978-3-319-27299-3	 DOI
10.1086/693639	 DOI
10.1007/3-540-31042-8_110	 DOI
10.1017/s0014479700023127	 DOI
10.1007/978-3-642-76373-1_32	 DOI
10.1007/978-3-662-48986-4_310749	 DOI
10.1007/978-3-642-59484-7_378	 DOI
10.1007/978-3-540-72130-7_3	 DOI
10.1007/978-3-319-21051-3	 DOI
10.1007/978-3-030-11533-3_14	 DOI
10.1007/0-387-25101-4_2	 DOI
10.1007/978-3-319-01772-3_1	 DOI
10.1007/978-1-4020-3052-9_47	 DOI
10.2196/preprints.15883	 DOI
10.2196/10245	 DOI
10.2196/preprints.7294	 DOI
10.2196/mhealth.9079	 DOI
10.2196/resprot.4648	 DOI
10.2196/preprints.13899	 DOI
10.2196/preprints.11382	 DOI
10.2196/mental.8779	 DOI
10.2196/medinform.5054	 DOI
10.2196/medinform.9979	 DOI
10.2196/13436	 DOI
10.2196/preprints.11533	 DOI
10.2196/resprot.5589	 DOI
10.2196/resprot.3655	 DOI
10.2196/preprints.9778	 DOI
10.2196/games.3480	 DOI
10.2196/mhealth.5114	 DOI
10.2196/medinform.8680	 DOI
10.2196/preprints.14054	 DOI
10.2196/preprints.9707	 DOI
10.2196/medinform.4457	 DOI
10.2196/mededu.7173	 DOI
10.2196/preprints.13331	 DOI
10.2196/preprints.11148	 DOI
10.2196/11012	 DOI
10.2196/resprot.4316	 DOI
10.2196/medinform.6603	 DOI
10.2196/publichealth.7663	 DOI
10.2196/11441	 DOI
10.2196/preprints.12056	 DOI
10.2196/preprints.11095	 DOI
10.2196/preprints.13635	 DOI
10.2196/preprints.11649	 DOI
10.2196/11452	 DOI
10.2196/preprints.7515	 DOI
10.2196/14029	 DOI
10.2196/15871	 DOI
10.2196/preprints.9486	 DOI
10.2196/16121	 DOI
10.2196/preprints.11879	 DOI
10.2196/resprot.7169	 DOI
10.2196/preprints.13384	 DOI
10.2196/15744	 DOI
10.2196/preprints.9854	 DOI
10.2196/12090	 DOI
10.2196/resprot.2599	 DOI
10.2196/resprot.9095	 DOI
10.2196/resprot.4948	 DOI
10.2196/preprints.10422	 DOI
10.2196/12700	 DOI
10.2196/preprints.7734	 DOI
10.2196/14769	 DOI
10.2196/mhealth.4846	 DOI
10.2196/games.8979	 DOI
10.2196/11226	 DOI
10.2196/13049	 DOI
10.2196/mental.5710	 DOI
10.2196/14238	 DOI
10.2196/preprints.14449	 DOI
10.2196/diabetes.9202	 DOI
10.2196/preprints.15781	 DOI
10.2196/10478	 DOI
10.2196/preprints.13605	 DOI
10.2196/preprints.12837	 DOI
10.2196/preprints.14349	 DOI
10.2196/preprints.10973	 DOI
10.2196/preprints.7708	 DOI
10.2196/mental.5363	 DOI
10.2196/medinform.3631	 DOI
10.2196/publichealth.7009	 DOI
10.2196/preprints.12130	 DOI
10.2196/games.6026	 DOI
10.2196/preprints.13296	 DOI
10.2196/13154	 DOI
10.2196/resprot.4035	 DOI
10.2196/preprints.11344	 DOI
10.2196/10649	 DOI
10.2196/preprints.12388	 DOI
10.2196/preprints.9867	 DOI
10.2196/cancer.4892	 DOI
10.2196/preprints.13121	 DOI
10.2196/mhealth.3425	 DOI
10.2196/10798	 DOI
10.2196/10899	 DOI
10.2196/11287	 DOI
10.2196/13831	 DOI
10.2196/preprints.12209	 DOI
10.2196/mhealth.2567	 DOI
10.2196/resprot.5093	 DOI
10.2196/mental.4822	 DOI
10.2196/preprints.13657	 DOI
10.2196/preprints.11275	 DOI
10.2196/12635	 DOI
10.2196/13625	 DOI
10.2196/10903	 DOI
10.2196/mhealth.9161	 DOI
10.2196/preprints.11997	 DOI
10.2196/14589	 DOI
10.2196/mental.8891	 DOI
10.1002/food.19730170427	 DOI
10.1006/game.1995.1042	 DOI
10.1016/s0422-9894(04)80055-2	 DOI
10.1002/aqc.3270030312	 DOI
10.1016/s0422-9894(97)80057-8	 DOI
10.1016/s0422-9894(08)70440-9	 DOI
10.1177/0047287595034002127	 DOI
10.1197/j.aem.2003.11.011	 DOI
10.1016/s0422-9894(08)70727-x	 DOI
10.1002/jab.770060112	 DOI
10.1002/pol.1986.140241214	 DOI
10.1016/s0422-9894(06)73008-2	 DOI
10.2138/am.2008.502	 DOI
10.1016/0021-9673(92)85320-s	 DOI
10.1016/s0020-1693(00)84864-1	 DOI
10.1016/s0422-9894(00)80008-2	 DOI
10.1016/0165-2427(81)90012-x	 DOI
10.1192/s0007125000215262	 DOI
10.1111/j.1751-0813.2004.tb14637.x	 DOI
10.1016/0963-8695(90)90055-n	 DOI
10.1177/0047287595034002125	 DOI
10.1016/s0165-4101(08)00043-8	 DOI
10.1007/s12110-015-9249-0	 DOI
10.1002/(sici)1099-0682(199803)1998:3<319::aid-ejic319>3.0.co;2-h	 DOI
10.1002/cite.330600426	 DOI
10.1016/s0925-9635(19)30555-2	 DOI
10.1007/s10562-010-0541-7	 DOI
10.1016/s0422-9894(08)70911-5	 DOI
10.1053/s0740-2570(15)00085-4	 DOI
10.1021/om00059a063	 DOI
10.1145/381984.381988	 DOI
10.1260/1747-9541.5.3.435	 DOI
10.1016/0014-5793(76)80298-0	 DOI
10.1007/bf00461160	 DOI
10.1002/maco.19970480915	 DOI
10.1093/chromsci/16.4.13a-e	 DOI
10.1177/0047287598037001103	 DOI
10.1086/681515	 DOI
10.1177/004051754701701007	 DOI
10.1016/s0422-9894(08)71416-8	 DOI
10.1002/ardp.19662990218	 DOI
10.1016/0014-5793(79)81368-x	 DOI
10.1002/bbpc.19840880429	 DOI
10.1002/pol.1965.100030536	 DOI
10.1017/s0263574700006202	 DOI
10.1016/j.quascirev.2005.10.011	 DOI
10.1002/recl.19881070412	 DOI
10.1016/s0165-5728(10)00106-2	 DOI
10.1016/s0422-9894(08)70598-1	 DOI
10.1080/00140139408963656	 DOI
10.1002/(sici)1096-9136(199705)14:5<404::aid-dia376>3.3.co;2-t	 DOI
10.1002/jobm.3620250405	 DOI
10.1177/002242787601300209	 DOI
10.1016/0014-5793(82)80547-4	 DOI
10.1016/s0422-9894(97)80076-1	 DOI
10.1002/jps.2600611234	 DOI
10.1007/bf03084134	 DOI
10.1002/mawe.19760070314	 DOI
10.1053/s0740-2570(15)00169-0	 DOI
10.1016/s1571-9960(04)80029-6	 DOI
10.1016/s0422-9894(08)70519-1	 DOI
10.1016/s1572-347x(05)80072-2	 DOI
10.1016/s1572-347x(05)80047-3	 DOI
10.2345/0899-8205(2007)41[200:iibne]2.0.co;2	 DOI
10.1016/s0422-9894(08)70200-9	 DOI
10.1016/0031-0182(68)90055-2	 DOI
10.1016/s1571-9960(04)80112-5	 DOI
10.1016/s0422-9894(08)71244-3	 DOI
10.1016/s0422-9894(97)80007-4	 DOI
10.1021/jm980371e	 DOI
10.1016/s1874-9305(07)80003-3	 DOI
10.1038/nature.2012.10010	 DOI
10.1002/bbpc.197800019	 DOI
10.1016/s1571-9952(03)80069-7	 DOI
10.7748/ns.21.19.31.s41	 DOI
10.1086/693650	 DOI
10.1016/b978-1-4832-2970-6.50001-0	 DOI
10.1007/s00381-005-1256-8	 DOI
10.1021/ja9656614	 DOI
10.1016/s0422-9894(08)70412-4	 DOI
10.1093/gji/34.1.136	 DOI
